Index	LogFC	FDR	VIP
MEDP0022_R	0.070588021	0.00938122	0.73787
MEDP0025	-0.047482823	0.042424841	0.485945
MEDP0036	-0.050433815	0.103017614	0.384143
MEDP0037_L	0.161388309	0.051671272	0.673816
MEDP0037_R	0.153228194	0.05783987	0.580562
MEDP0039	0.070424344	0.009452411	0.574368
MEDP0059	0.210782524	3.86E-06	1.11771
MEDP0077	0.54336301	2.05E-13	2.70758
MEDP0084	0.141057864	0.002889356	1.17204
MEDP0086	0.092383852	0.011088281	0.725098
MEDP0087_L	-0.077058143	0.010978241	0.733634
MEDP0087_M	-0.162221351	0.000705139	0.819638
MEDP0087_R	0.040859426	0.258702905	0.308472
MEDP0115	-0.000561725	0.053195094	0.539578
MEDP0120	-0.852444781	3.28E-07	2.62833
MEDP0125	-0.049187085	0.043366824	0.382647
MEDP0135	-0.024568859	0.080667069	0.182343
MEDP0151	0.158910384	0.009715108	0.598721
MEDP0152_L	-0.375933274	3.46E-08	2.22368
MEDP0152_R	-0.412004892	9.92E-08	2.22866
MEDP0156	0.123565092	0.000242453	0.554709
MEDP0157	0.056838594	0.054500948	0.395247
MEDP0159_R	0.01657312	0.526506279	0.254881
MEDP0166	-0.215526803	0.005114195	0.949209
MEDP0170_L	-0.078432813	8.87E-05	0.770195
MEDP0170_R	-0.174431143	0.001415135	0.772809
MEDP0174	0.044272925	0.034283778	0.454541
MEDP0177	0.084469098	0.00101949	0.612632
MEDP0178	-0.153296119	8.47E-08	0.969105
MEDP0179_L	0.039535834	0.007198043	0.36252
MEDP0179_R	0.164642668	0.000189936	0.854232
MEDP0184	-0.159803025	4.76E-08	0.991517
MEDP0186	-0.044676567	0.035790273	0.397295
MEDP0230	-0.018702505	0.309499123	0.122713
MEDP0239	-0.013382911	0.612293931	0.0653187
MEDP0246	0.020158117	0.646509571	0.260908
MEDP0251	-0.092553853	0.03949595	0.708417
MEDP0270	-0.099443551	0.083588326	0.400973
MEDP0275	0.002207088	0.853034233	0.234418
MEDP0287	-0.399967599	4.50E-09	1.68543
MEDP0301	-0.466231062	2.10E-08	1.50617
MEDP0305	0.082021714	0.333611668	0.364809
MEDP0315	-0.238018448	0.582861465	1.396
MEDP0319_L	-0.048038427	0.036117582	0.468057
MEDP0319_R	-0.101309729	0.0763299	0.0493504
MEDP0321	-0.019673519	0.068023314	0.263417
MEDP0325_R	0.063363518	0.017801444	0.680583
MEDP0333_L	0.034820149	0.244468821	0.577286
MEDP0338_L	-0.045029169	1.33E-06	0.62871
MEDP0338_R	-0.027540125	8.72E-06	0.440209
MEDP0364	0.054976452	0.010503875	1.50161
MEDP0374	-0.024640756	0.270626307	0.28294
MEDP0378	0.220046427	1.25E-07	0.923371
MEDP0387	-0.156066948	0.0678043	0.617999
MEDP0401	0.522118405	2.05E-13	1.94412
MEDP0404	-0.034132525	0.500085523	0.13266
MEDP0408	-0.048447889	0.339339779	0.425311
MEDP0425	0.035612031	0.097837406	0.686372
MEDP0429	-0.126552963	0.045031875	0.56388
MEDP0442	-0.519111028	0.000470499	1.39027
MEDP0453	-0.029611256	0.150383233	0.401955
MEDP0456	0.045211051	0.063486887	0.449063
MEDP0461	0.232902168	6.50E-09	1.16983
MEDP0494_L	-0.214192372	1.97E-06	1.08218
MEDP0494_R	-0.189620655	1.79E-06	1.05017
MEDP0507_L	0.043347257	0.168506226	0.443042
MEDP0507_R	0.03561993	0.236623256	0.278343
MEDP0510	-0.039500084	0.047596665	0.145992
MEDP0519	-0.02737763	0.213253591	0.305785
MEDP0537_L	-0.114396065	1.23E-08	0.99103
MEDP0537_R	-0.049856952	2.29E-08	0.630131
MEDP0545	0.042238619	0.057825198	0.455968
MEDP058	-0.005360441	0.244434839	0.136857
MEDP0584	0.315179157	0.002799693	0.731995
MEDP0592	-0.413177719	6.34E-09	1.80417
MEDP0611	0.205786044	2.73E-06	1.03892
MEDP0617	-0.722515188	0.015220618	0.555815
MEDP0618_L	0.017816563	0.493133637	0.46246
MEDP0618_R	0.060813661	0.0785617	0.683474
MEDP0752	0.021359736	0.168308208	0.434878
MEDP0765	0.258485269	0.011877512	1.06348
MEDP0859_L	0.126512691	0.000819537	0.726985
MEDP0859_R	-0.484913768	8.40E-13	2.53896
MEDP0868	-0.015247026	0.218848146	0.272932
MEDP087	-0.1003286	0.002321928	0.687138
MEDP0871_L	-0.018217841	0.285409893	0.171835
MEDP0871_R	-0.477049268	7.90E-09	1.98715
MEDP0874	-0.117740824	0.190067665	0.55085
MEDP0877	0.020288362	0.680670478	0.0831756
MEDP0878	-0.073565564	0.029024376	0.312072
MEDP0889	0.13457713	0.000677117	0.856395
MEDP0890	-0.019676274	0.222715205	0.472481
MEDP0894	0.042498023	0.202824512	0.302702
MEDP0899	0.198435012	0.013802336	0.601608
MEDP1001	-0.030143985	0.080036869	0.270592
MEDP1006	-0.127174156	0.030213331	0.731882
MEDP1020_R	-0.309869449	0.059497269	1.30112
MEDP1023	-0.850953945	0.000102926	1.42838
MEDP1032	-0.242958626	0.620358614	1.35608
MEDP1033	0.047959275	0.029880732	0.474661
MEDP1045	0.435366657	4.40E-05	1.55644
MEDP1049	-0.311705457	4.20E-05	0.987854
MEDP1061	0.027547061	0.010130114	0.3756
MEDP1062	0.03452683	0.373750241	0.199342
MEDP1068	0.081686876	0.000835851	0.868227
MEDP1073	0.067960163	0.011741722	0.497242
MEDP1077_L	-0.375776427	2.18E-08	2.23605
MEDP1077_R	-0.355286186	3.08E-07	2.15215
MEDP1084	-0.32377529	0.000344945	0.670902
MEDP1096_L	-0.029659777	0.342077446	0.555838
MEDP1096_M	-0.104732708	0.000344305	0.636543
MEDP1096_R	-0.08017186	0.0270897	0.42224
MEDP1099_L	0.02953084	0.325408298	1.09339
MEDP1100	-0.10175903	0.000442297	0.666888
MEDP1126	0.037342977	0.068054189	0.362639
MEDP1127	0.002029488	0.587750809	0.183605
MEDP1132	-0.066943593	0.149969058	0.53569
MEDP1161	0.044431767	0.059312886	0.266728
MEDP1162	0.069985886	0.002191343	0.479463
MEDP1177	0.127452015	0.007377076	0.857109
MEDP1188	-0.109337066	0.01025153	0.809933
MEDP1194_R	-0.130051541	4.08E-05	0.651962
MEDP120	-0.863710226	9.26E-07	2.65656
MEDP1201	0.723346329	1.69E-05	1.97028
MEDP1203_R	-0.116508709	0.000103639	0.745832
MEDP122	-0.343747398	8.51E-10	1.68368
MEDP1228	-0.036704725	0.409514072	0.360039
MEDP1235	-0.199479495	6.61E-06	1.04911
MEDP1243	0.040025724	0.016986639	1.76915
MEDP1251	-0.014089402	0.208095319	1.72115
MEDP1255	0.383477505	0.064217168	1.20205
MEDP1273_R	-0.075224729	0.173296445	0.43029
MEDP1274_L	0.556608467	4.82E-05	1.9158
MEDP1274_R	0.344510257	0.01448952	1.69196
MEDP1289	-0.192107515	0.20315357	0.0801906
MEDP1321_L	0.039216425	0.358179714	0.733765
MEDP1321_M	0.104459568	0.036445919	0.231425
MEDP1321_R	0.078086932	0.243785721	0.421972
MEDP1322_L	-0.046066547	0.319639406	0.472355
MEDP1322_M	-0.025752103	0.775796291	0.393752
MEDP1322_R	0.011446991	0.796332094	0.592111
MEDP1326_L	-0.011089809	0.72473986	0.723276
MEDP1326_R	-0.056469363	0.151314385	0.877431
MEDP1331	-0.076488166	0.014789811	0.430133
MEDP1332_L	-0.024566933	0.26991151	0.409925
MEDP1332_M	-0.006065977	0.715386436	0.418405
MEDP1332_R	-0.147541064	1.94E-05	0.809845
MEDP1333	-0.023345803	0.259195117	0.365761
MEDP1334_L	-0.021637762	0.316890851	0.375249
MEDP1336	-0.19560447	0.005178696	0.817129
MEDP1337	-0.094687522	1.28E-08	0.900791
MEDP1339	-0.021954307	0.091120065	0.551418
MEDP1341_L	-0.010785404	0.314526684	0.406258
MEDP1341_R	-0.004519999	0.435938106	0.307578
MEDP1345_L	-0.077380284	0.154010685	0.601411
MEDP1345_R	-0.040983782	0.245001143	0.559826
MEDP1346	-0.015604487	0.000178549	0.261518
MEDP1348	-0.105182242	0.006522191	0.892731
MEDP1382	-0.052844866	0.202824512	0.674849
MEDP1389	0.005851639	0.816846116	0.349254
MEDP1390	-0.004070038	0.627042568	0.352676
MEDP1391	-0.066883522	0.069430656	0.607834
MEDP1396	0.084770607	0.08069694	1.06265
MEDP1397	-0.057249547	0.045247477	0.480052
MEDP1399	-0.178188022	0.103463271	0.319252
MEDP1401	-0.113868438	0.03023665	0.277547
MEDP1402	-0.119050754	0.158099705	0.195602
MEDP1404	-0.270922962	0.000227853	0.614353
MEDP1405	-0.170452825	0.001068132	0.533795
MEDP1406	-0.145529398	0.236809378	0.127154
MEDP1408	-0.290745906	0.017797981	0.49784
MEDP1411	-0.198717554	0.000328375	0.73548
MEDP1414_L	-0.211876038	0.078648351	0.308288
MEDP1414_R	-0.167253089	0.159679194	0.328461
MEDP1415_L	0.001288386	0.307928245	0.614334
MEDP1415_R	0.059629644	0.02739281	0.66677
MEDP1416_L	-0.578753942	1.55E-08	1.30746
MEDP1416_R	-0.333619916	0.001732698	0.510342
MEDP1417_R	-0.14817799	0.02073676	0.363138
MEDP1418	-0.189951037	0.00131237	0.629362
MEDP1419	-0.312892081	0.006602866	0.493862
MEDP1424_L	-0.340230536	1.70E-05	1.23439
MEDP1424_M	-0.533863467	5.51E-06	0.961629
MEDP1424_R	-0.284194027	0.00871248	0.392707
MEDP1427	-0.345748729	0.006798289	0.470321
MEDP1429_L	0.142737525	0.088173688	0.474812
MEDP1429_R	-0.038687359	0.332338861	0.181714
MEDP1430	-0.282119282	0.004478991	0.590687
MEDP1432	-0.12524502	0.000147745	0.790577
MEDP1433_R	0.482802724	1.37E-12	2.63471
MEDP1434	0.075983146	0.157106901	0.618681
MEDP1441	0.067684513	0.532426457	0.344733
MEDP1442	0.071282554	0.231810937	0.406641
MEDP1449	-0.225415758	0.046594084	0.423724
MEDP1455	-0.008034268	0.207415404	0.176368
MEDP1462	-0.354147577	8.93E-07	1.98938
MEDP1464	-0.34969071	0.307063359	0.787385
MEDP1472	-0.03361098	0.026627542	0.576929
MEDP1479	-0.620109961	6.43E-06	2.91137
MEDP148	-0.70079984	8.58E-06	1.58991
MEDP1488	0.083500349	0.534013865	0.416759
MEDP1490	-0.121088525	0.429355318	0.977122
MEDP1493	0.158807651	1.90E-05	1.00094
MEDP1501	0.159219593	0.006658729	0.67765
MEDP1506	-0.833735438	3.70E-12	1.66003
MEDP1508_L	0.050392577	0.333520857	0.584321
MEDP1508_R	0.083481632	0.096439535	0.431302
MEDP1509	0.340922498	1.64E-09	1.40477
MEDP1512	-0.019375151	0.122974597	0.242564
MEDP1513_L	-0.166600178	0.012908088	0.466804
MEDP1513_R	-0.453851375	0.002528991	1.12364
MEDP1514	-0.235516145	4.63E-06	0.991558
MEDP1516	-0.257206049	0.001347004	0.459815
MEDP1518_L	-0.327118466	0.002420094	0.581111
MEDP1518_R	-0.179484871	0.021833612	0.350342
MEDP1520	-0.10463674	0.100106768	0.196446
MEDP1521_L	-0.245793091	0.011745666	0.406139
MEDP1521_R	-0.273982617	0.001011232	0.615981
MEDP1526	-0.220390274	0.006140846	0.552162
MEDP153_a_L	-0.660323658	1.98E-05	2.10894
MEDP153_a_R	-0.259931691	5.60E-06	1.97167
MEDP1639	0.327668576	4.95E-07	1.55222
MEDP1644	0.027959566	0.603576316	0.313273
MEDP1657	-0.15198788	3.00E-07	1.11283
MEDP1658	-0.067131338	0.001603112	0.855215
MEDP1659	-0.123840591	2.44E-05	1.03523
MEDP1665	0.038265061	0.268743177	0.253888
MEDP1667	-0.165356422	1.21E-06	0.977526
MEDP1686	-0.134390217	0.009598457	0.600547
MEDP1691	-0.180139197	1.08E-07	1.14322
MEDP1693	-0.452235274	0.000516436	0.981211
MEDP1695	-0.053050599	0.050963174	0.855226
MEDP1698	-0.225968609	1.64E-09	1.27813
MEDP1701	-0.011552082	0.489104364	0.650804
MEDP1702	-0.003852485	0.801740856	0.710852
MEDP1713	0.210725776	0.002302489	0.728799
MEDP1723	-0.033196973	0.43876394	0.589074
MEDP1749	-0.02108967	0.200261656	0.30621
MEDP1750	-0.096517291	0.112648928	0.789694
MEDP1778	0.010944499	0.522180358	0.441362
MEDP1780	-0.033500563	0.400437222	0.204443
MEDP1786	0.019506129	0.505727504	0.330371
MEDP1787	0.135062676	0.064844281	0.518765
MEDP1794_L	0.037403009	0.242844555	0.534428
MEDP1860_L	0.124923805	0.000319436	0.804552
MEDP1860_R	0.058470491	0.042762642	0.690183
MEDP1861	0.058965803	0.069660313	0.56044
MEDP1871	0.04703106	0.211658763	0.546699
MEDP1875	-0.113130346	0.092155162	0.528058
MEDP1885_L	-0.213914477	0.000671617	0.958326
MEDP1885_R	-0.289049875	0.000439087	1.26334
MEDP1888	-0.30903688	6.85E-08	1.60457
MEDP1897	0.084127751	0.548417779	0.65056
MEDP1900	-0.647065452	1.16E-05	2.86691
MEDP1902	-0.060087777	0.052293049	0.889966
MEDP1904_R	-0.007093161	0.954354061	0.666824
MEDP1911	0.026224183	0.568324022	0.203065
MEDP1912	-0.244228898	6.69E-07	1.30688
MEDP1913_L	0.559992955	0.000226191	1.24533
MEDP1913_R	0.929826248	0.013798936	1.11877
MEDP1915	0.07587198	0.105555935	0.346069
MEDP1916	0.137192288	1.30E-06	0.938739
MEDP1921	0.477928049	1.52E-13	2.65865
MEDP1926	-0.283805275	8.83E-06	1.26482
MEDP1927	-0.032485175	0.342303158	0.565781
MEDP1928	-0.115134081	0.022154213	0.556662
MEDP1929	0.072542033	0.152508603	0.267903
MEDP1937_L	-0.150853497	3.10E-05	0.849486
MEDP1937_R	-0.711859039	4.12E-15	1.94755
MEDP1938	0.100849797	0.009048915	0.599385
MEDP1949	-0.431954431	3.04E-09	1.56375
MEDP1954	0.181190795	1.11E-05	0.849746
MEDP1966	-0.280775962	0.008227959	1.01994
MEDP1968	0.123906628	0.003250973	0.89193
MEDP1973	-0.436432523	1.46E-07	1.77111
MEDP1982	0.023429152	0.562532382	0.435073
MEDP1988_L	0.048718638	0.149207313	0.441899
MEDP1988_R	0.050427874	0.303827939	0.267164
MEDP2003	-0.042998777	0.308885175	0.617206
MEDP2007	0.096959221	0.336411943	0.533976
MEDP2030	-1.408503545	2.23E-05	1.32152
MEDP2038	0.21061187	3.62E-07	0.883783
MEDP204_a_L	-0.376001064	2.92E-09	1.37004
MEDP204_a_R	0.08715164	0.454688472	0.369885
MEDP276_a	0.084019871	0.387255619	0.37493
MEDP282	-0.113113807	0.036552482	0.55525
MEDP315	-0.247324171	0.542701492	1.38899
MEDP328	0.083904072	0.058092145	0.695169
MEDP352_b_L	-0.070020304	0.011308598	0.800758
MEDP352_b_R	-0.066352032	0.020844175	0.800558
MEDP428	-0.052802052	0.794724136	0.913493
MEDP440	-0.055746727	0.024310868	0.522429
MEDP443	-0.2296548	6.14E-07	0.855164
MEDP454	0.07104291	0.538885062	0.374195
MEDP520	0.482178571	1.97E-13	2.64741
MEDP576	0.304175933	0.016329078	1.00344
MEDP610	-0.23139757	0.590589867	1.32928
MEDP627	-0.303274035	1.74E-08	1.53028
MEDP649	-0.175643667	1.77E-05	1.04069
MEDP842	-0.327670028	8.00E-06	1.30892
MW00006589	0.054828292	0.022345756	0.488209
MW00012844	-0.010182307	0.680130813	0.701405
MW00012916	-0.141448553	0.157842834	0.79802
MW00012998	-0.12650829	1.97E-07	1.03083
MW00013022_L	-0.023556299	0.247660282	0.779124
MW00013022_R	-0.028340442	0.146270041	0.728034
MW00013024	-0.062876219	0.00161343	0.844886
MW00015607	-0.060333278	0.0270897	0.356357
MW00054634	-0.021001795	0.609960607	0.798912
MW00055556	-0.067517072	0.073169556	0.623008
MW00063975	-0.026751353	0.126098392	0.163678
MW00102889	-0.079008666	0.041677995	0.825366
MW00111192	-0.02771054	0.229391713	0.0907511
MW00116231	-0.404223793	2.86E-08	1.277
MW00124555	-0.272388464	0.019872699	1.27356
MW00139198_L	-0.218717182	7.44E-05	1.13347
MW00140272_L	-0.198291648	0.082881673	0.277058
MW00140272_R	-0.176004979	0.169730838	0.326785
MW00141758	0.02244063	0.282088165	0.108254
MW00146383_L	-0.149776636	0.034077858	0.655639
MW00146383_M	-0.188997889	0.012561874	0.829369
MW00146383_R	-0.343955431	0.000283138	1.11966
MW00151234	0.572134695	5.62E-06	1.81978
MW00152192_L	-0.039096505	0.334562122	0.458097
MW00152192_R	-0.017587526	0.931787268	0.384382
MW00152570_L	0.013278768	0.719940581	0.582989
MW00152570_M	0.042930099	0.336454266	0.722795
MW00152570_R	0.075936111	0.310541075	0.425679
MW00171049	-0.030044323	0.411383698	0.418377
MWS-00-88g-P1	0.037219638	0.48624531	0.222065
mws0126-P1	-0.229996739	3.87E-06	1.34445
mws0228-P1	0.030460971	0.455430066	0.275156
mws0283-P5	-0.20596463	6.71E-07	1.32946
mws-04-85-P1	0.206476417	0.007127774	0.742823
MWS0626-P1	-0.66254161	8.04E-05	2.08522
MWS0649-P1	0.024415677	0.967011925	0.0795745
MWS0715-P1	0.52185529	1.02E-12	2.65894
mws1115-P2	-0.036716369	0.111523176	0.584134
MWS-20-122-P5	-0.28812432	8.69E-07	1.25839
MWS-20-130-P3	0.094187982	0.026977381	0.661406
mws-20-133-P1	0.067338784	0.024370817	0.684088
MWS-20-509-P3	-0.122286154	3.16E-05	1.03062
MWS-20-541-P5	-0.32332927	2.53E-07	1.79695
MWS-20-553g-P1	-0.129127425	0.001225961	1.06053
mws-20-99-P3	0.048603257	0.398139357	0.270146
MWS2219-P5	-0.593507249	4.42E-05	2.36436
MWS4251-P1	0.343721461	0.065345945	1.12217
mws5209-P5	0.002626652	0.634303449	0.396509
P-41_2	-0.376273596	6.51E-08	1.69404
P-60_1	0.181363146	0.002486196	0.995674
Whmp3802	-0.005609691	0.192512914	1.76932
Wmhp146	0.044969691	0.232190486	0.258777
Wmhp4212-2	-0.286210415	1.15E-06	1.24229
Wmhp5721	0.071752236	0.013615284	0.592134
Wmzp369	-0.052654685	0.0491936	0.507822
Wmzp780	-0.241061867	0.584425133	1.33727
Wmzp87	-0.201444285	0.000125684	1.07474
PTGCF0005_1	0.780567653	1.05E-05	2.05844
PTGCF0006_2	-0.087271077	1.28E-06	0.871478
PTGCF0023_2	0.781419588	6.90E-08	2.5862
PTGCF0053_1	0.466338161	7.10E-12	2.57748
PTGCF0058_1	0.561360007	7.27E-08	2.3611
PTGCF0078_1	0.734079054	1.74E-05	1.94917
PTGCF0080_1	-0.030114226	0.800955128	0.691999
PTGCF0082_1	-0.339088323	0.000413667	1.6372
PTGCF0083_1	0.297592262	1.80E-07	1.80575
PTGCF0086_1	0.3840681	0.001173645	1.32295
PTGCF0146_1	0.453311962	7.60E-09	1.99597
PTGCF0161_1_L	-0.039860862	0.560273155	0.579803
PTGCF0161_1_R	0.03461009	0.344874396	0.549502
PTGCF0193_2	-0.026018656	0.350448545	0.186797
PTGCF0199_1_L	0.565591003	5.61E-05	1.84723
PTGCF0199_1_R	0.307260137	0.054642403	1.49563
PTGCF0202_2	0.133848416	0.006777751	0.775631
PTGCF0240_1	-0.801740261	4.14E-12	4.05443
PTGCF0262_1	-0.027927241	0.134164898	0.180533
PTGCF0263_1	0.05789703	0.073999726	0.374171
PTGCF0271_1	-0.026871593	0.30118841	0.421118
PTGCF0281_1	0.129858881	0.758550949	0.355307
PTGCF0291_1	-0.353644647	0.001023811	1.39181
PTGCF0329_1	0.334465742	0.054744484	1.04613
PTGCF0363_1	0.58120894	4.55E-14	2.62738
PTGCF0373_1	1.726821885	2.76E-05	3.45285
PTGCF0381_1_L	-0.097774008	1.79E-05	0.884225
PTGCF0381_1_R	-0.065524718	4.62E-05	0.559252
PTGCF0415_1	0.590822181	6.85E-13	2.63369
PTGCF0432	-0.62057369	4.09E-05	2.19558
PTGCF0459	-0.026644813	0.260708186	0.701884
PTGCF0466	0.375236622	0.005164066	1.31304
PTGCF0468	0.38126528	2.15E-12	2.50246
MIMP18870-1_b	0.531326927	0.00329617	1.58253
MIMP18882-1_b	0.526238789	0.007350797	1.5693
MIMP18975-1	0.543452337	5.02E-05	1.89179
MIMP19002-1_a	0.56347717	6.87E-05	1.88753
MIMP19002-1_b	0.347119548	0.018492344	1.56592
MIMP23848-1_a_L	-0.299516914	2.05E-06	1.22762
MIMP23848-1_a_R	-0.301941251	4.35E-07	1.26003
MIMP27785-1	-0.196194343	1.69E-05	0.995513
pcvdm18455-2	-0.016013473	0.264241762	1.57604
pcvdm18478-2	-0.011751884	0.442475741	1.81539
pcvdm23354-2	0.252314307	0.002023204	1.28489
pcvdm24036-2	-0.050371028	0.229433357	0.279721
pcvdm25751-2	-0.368477114	5.58E-07	1.48188
pcvdm37069-1	-0.1971902	4.11E-06	1.07376
PGCM00358	0.020276304	0.285002551	0.283493
PGCM00382	0.054222692	0.384792468	0.235065
PGCM00407	-0.001886553	0.942466735	0.71685
PGCM00501	-0.030590517	0.07401335	0.220426
PGCM00523	-0.028527822	0.022946984	0.236439
PGCM00543	-0.149519814	5.77E-08	0.964156
PGCM00581	0.039941013	0.075025956	0.4014
PGCM00758	-0.038017397	0.083999691	0.43494
PGCM00798	-0.021658394	0.433958244	0.390016
PGCM00800	0.113784267	0.098688415	0.736682
PGCM00825_L	-0.148135633	0.051342548	0.478793
PGCM00825_R	-0.240757345	3.58E-05	1.05326
PGCM00887	-0.130109827	0.023555023	1.02223
PGCM00888	0.158420092	0.001581309	0.8689
PGCM00901	0.11692098	0.041750407	0.631356
PGCM00982	0.076441973	0.474485157	0.377779
PGCM00984	0.051093325	0.01675238	0.466178
PGCM01025	-0.039786833	0.245179431	0.545352
PGCM01165	-0.175055389	0.137956525	0.553655
PGCM01282	0.059254589	0.299334243	0.25304
PGCM01284	-0.047294458	0.04924059	0.47531
PGCM01289	0.072854738	0.000221055	0.355387
PGCM01290	0.125694996	8.18E-08	0.935813
PGCM01319	0.089242901	0.042424841	0.402986
PGCM01368	0.17184252	0.001473026	0.634041
PGCM01388	0.031759521	0.096410593	0.211982
PGCM01411	0.099584374	0.00576991	0.606169
PGCM01479	-0.595352138	7.82E-07	2.3099
